timestamp(ms),OmegaX,OmegaY,OmegaZ,AngleError,TrqX,TrqY,TrqZ,QuatW,QuatX,QuatY,QuatZ,ADCS_Mode,Tgt_I_X,Tgt_I_Y,Tgt_I_Z,Act_I_X,Act_I_Y,Act_I_Z,PWM_X,PWM_Y,PWM_Z,
"1770621159,285","0,459349","-0,013962","-0,202064","65,44","0","0,000002","0,000001","0,8413","0,4924","-0,0845","-0,2064","1","0,2","-0,0998","0,2","0,2","-0,0998","0,2","50","-24,96","50",
"1770621159,291","0,459365","-0,013402","-0,202059","65,73","0","0,000002","0,000001","0,84","0,4944","-0,0845","-0,2071","1","0,2","-0,097","0,2","0,2","-0,097","0,2","50","-24,24","50",
"1770621159,302","0,459381","-0,012842","-0,202055","66,01","0","0,000002","0,000001","0,8386","0,4964","-0,0846","-0,2078","1","0,2","-0,0941","0,2","0,2","-0,0941","0,2","50","-23,52","50",
"1770621159,314","0,459396","-0,012281","-0,202051","66,3","0","0,000002","0,000001","0,8373","0,4984","-0,0846","-0,2085","1","0,2","-0,0913","0,2","0,2","-0,0913","0,2","50","-22,81","50",
"1770621159,325","0,45941","-0,011721","-0,202047","66,58","0","0,000002","0,000001","0,8359","0,5004","-0,0846","-0,2092","1","0,2","-0,0884","0,2","0,2","-0,0884","0,2","50","-22,1","50",
"1770621159,336","0,459424","-0,011161","-0,202043","66,87","0","0,000002","0,000001","0,8345","0,5024","-0,0846","-0,2098","1","0,2","-0,0856","0,2","0,2","-0,0856","0,2","50","-21,4","50",
"1770621159,347","0,459437","-0,010601","-0,202039","67,15","0","0,000002","0,000001","0,8331","0,5044","-0,0847","-0,2105","1","0,2","-0,0828","0,2","0,2","-0,0828","0,2","50","-20,69","50",
"1770621159,357","0,459449","-0,010041","-0,202035","67,44","0","0,000002","0,000001","0,8318","0,5063","-0,0847","-0,2112","1","0,2","-0,0799","0,2","0,2","-0,0799","0,2","50","-19,99","50",
"1770621159,37","0,45946","-0,009481","-0,202031","67,72","0","0,000002","0,000001","0,8304","0,5083","-0,0847","-0,2119","1","0,2","-0,0771","0,2","0,2","-0,0771","0,2","50","-19,29","50",
"1770621159,38","0,459471","-0,008921","-0,202028","68,01","0","0,000003","0,000001","0,829","0,5103","-0,0847","-0,2125","1","0,2","-0,0744","0,2","0,2","-0,0744","0,2","50","-18,59","50",
"1770621159,393","0,459481","-0,00836","-0,202024","68,29","0","0,000003","0,000001","0,8276","0,5123","-0,0847","-0,2132","1","0,2","-0,0716","0,2","0,2","-0,0716","0,2","50","-17,89","50",
"1770621159,404","0,459491","-0,0078","-0,202021","68,58","0","0,000003","0,000001","0,8262","0,5143","-0,0847","-0,2139","1","0,2","-0,0688","0,2","0,2","-0,0688","0,2","50","-17,2","50",
"1770621159,415","0,4595","-0,00724","-0,202017","68,86","0","0,000003","0,000001","0,8248","0,5162","-0,0847","-0,2145","1","0,2","-0,066","0,2","0,2","-0,066","0,2","50","-16,51","50",
"1770621159,427","0,459508","-0,00668","-0,202014","69,15","0","0,000003","0,000001","0,8234","0,5182","-0,0847","-0,2152","1","0,2","-0,0633","0,2","0,2","-0,0633","0,2","50","-15,82","50",
"1770621159,436","0,459515","-0,00612","-0,20201","69,43","0","0,000003","0,000001","0,822","0,5202","-0,0847","-0,2158","1","0,2","-0,0605","0,2","0,2","-0,0605","0,2","50","-15,13","50",
"1770621159,447","0,459522","-0,005559","-0,202007","69,72","0","0,000003","0,000001","0,8206","0,5222","-0,0847","-0,2165","1","0,2","-0,0578","0,2","0,2","-0,0578","0,2","50","-14,45","50",
"1770621159,457","0,459528","-0,004999","-0,202004","70","0","0,000003","0,000001","0,8191","0,5241","-0,0847","-0,2171","1","0,2","-0,0551","0,2","0,2","-0,0551","0,2","50","-13,77","50",
"1770621159,469","0,459533","-0,004439","-0,202001","70,29","0","0,000003","0,000001","0,8177","0,5261","-0,0847","-0,2178","1","0,2","-0,0524","0,2","0,2","-0,0524","0,2","50","-13,09","50",
"1770621159,482","0,459538","-0,003879","-0,201998","70,57","0","0,000003","0,000001","0,8163","0,528","-0,0847","-0,2184","1","0,2","-0,0496","0,2","0,2","-0,0496","0,2","50","-12,41","50",
"1770621159,493","0,459542","-0,003319","-0,201995","70,86","0","0,000003","0,000001","0,8148","0,53","-0,0847","-0,219","1","0,2","-0,047","0,2","0,2","-0,047","0,2","50","-11,74","50",
"1770621159,536","0,459545","-0,002758","-0,201992","71,14","0","0,000003","0,000001","0,8134","0,5319","-0,0846","-0,2197","1","0,2","-0,0443","0,2","0,2","-0,0443","0,2","50","-11,07","50",
